,round,hid_dim,weight_decay,lr,f1,distance,hp_id
0,0,32,0.0,0.01,0.28132906159141174,109460.62296340754,32_0_0.01
1,1,32,0.0,0.01,0.23965719163774743,108974.33170655307,32_0_0.01
2,2,32,0.0,0.01,0.3496662526112883,98848.70030479012,32_0_0.01
3,3,32,0.0,0.01,0.3928724068251256,97340.04201024231,32_0_0.01
4,4,32,0.0,0.01,0.24557623852603466,109655.01866129389,32_0_0.01
5,5,32,0.0,0.01,0.18057513277692774,120006.36589068871,32_0_0.01
6,6,32,0.0,0.01,0.27130763557265614,107840.53784270099,32_0_0.01
7,7,32,0.0,0.01,0.34816606215319584,96745.51761881453,32_0_0.01
8,8,32,0.0,0.01,0.2797109449825106,107005.92026573911,32_0_0.01
9,9,32,0.0,0.01,0.26753138296017054,107217.80555308062,32_0_0.01
10,0,32,0.0001,0.01,0.20920813945952754,116939.22899527659,32_0.0001_0.01
11,1,32,0.0001,0.01,0.21503164224174787,112614.66128265776,32_0.0001_0.01
12,2,32,0.0001,0.01,0.29332110973438935,103554.22711262721,32_0.0001_0.01
13,3,32,0.0001,0.01,0.2938095985681706,107400.78853927206,32_0.0001_0.01
14,4,32,0.0001,0.01,0.30016478177500516,103734.18270409986,32_0.0001_0.01
15,5,32,0.0001,0.01,0.4476917714492598,92118.68493227901,32_0.0001_0.01
16,6,32,0.0001,0.01,0.31234328001153555,102674.775435949,32_0.0001_0.01
17,7,32,0.0001,0.01,0.24522289435374794,108986.24631174124,32_0.0001_0.01
18,8,32,0.0001,0.01,0.3715592746600926,97270.5958133553,32_0.0001_0.01
19,9,32,0.0001,0.01,0.2657064613381748,110091.44246863369,32_0.0001_0.01
20,0,32,0.001,0.01,0.38806117457314093,93519.3119292779,32_0.001_0.01
21,1,32,0.001,0.01,0.33336470003485247,101722.33184472861,32_0.001_0.01
22,2,32,0.001,0.01,0.3346128843277193,103512.2719539216,32_0.001_0.01
23,3,32,0.001,0.01,0.30453925475253335,105476.02824633085,32_0.001_0.01
24,4,32,0.001,0.01,0.3278305451298912,100262.7066883251,32_0.001_0.01
25,5,32,0.001,0.01,0.29691774636377943,104492.98748291153,32_0.001_0.01
26,6,32,0.001,0.01,0.3188018057135221,102280.89226023661,32_0.001_0.01
27,7,32,0.001,0.01,0.2837303322003025,107701.54824165892,32_0.001_0.01
28,8,32,0.001,0.01,0.3376447643107164,99340.8048491192,32_0.001_0.01
29,9,32,0.001,0.01,0.3448217605564044,103410.76064491543,32_0.001_0.01
30,0,32,0.01,0.01,0.3068953062499238,110962.39773136932,32_0.01_0.01
31,1,32,0.01,0.01,0.25186038277373246,114612.54604088809,32_0.01_0.01
32,2,32,0.01,0.01,0.32132670532501606,110800.62422467682,32_0.01_0.01
33,3,32,0.01,0.01,0.3096616553953153,110385.30812149201,32_0.01_0.01
34,4,32,0.01,0.01,0.32572676289566344,111508.55580904259,32_0.01_0.01
35,5,32,0.01,0.01,0.2943809575681234,111329.08585741355,32_0.01_0.01
36,6,32,0.01,0.01,0.3134931733618643,110853.10476787692,32_0.01_0.01
